"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"121","endothelial","oligodendrocytes","FGF1","FGFR2",0.0028279497827887,0,"FGF1_FGFR2","FGF1 - FGFR2","FGF","Secreted Signaling","PMC: 4393358"
"122","oligodendrocytes","oligodendrocytes","FGF1","FGFR2",0.0119718384723367,0,"FGF1_FGFR2","FGF1 - FGFR2","FGF","Secreted Signaling","PMC: 4393358"
"123","astrocytes","astrocytes","FGF1","FGFR3",0.000704248720099603,0,"FGF1_FGFR3","FGF1 - FGFR3","FGF","Secreted Signaling","PMC: 4393358"
"124","endothelial","astrocytes","FGF1","FGFR3",0.00439230723101912,0,"FGF1_FGFR3","FGF1 - FGFR3","FGF","Secreted Signaling","PMC: 4393358"
"125","oligodendrocytes","astrocytes","FGF1","FGFR3",0.0185005423382529,0,"FGF1_FGFR3","FGF1 - FGFR3","FGF","Secreted Signaling","PMC: 4393358"
"126","astrocytes","astrocytes","FGF2","FGFR1",0.00111328859408286,0,"FGF2_FGFR1","FGF2 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"127","astrocytes","endothelial","FGF2","FGFR1",0.000132756634733755,0.01,"FGF2_FGFR1","FGF2 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"128","astrocytes","neurons","FGF2","FGFR1",0.000273950921400547,0,"FGF2_FGFR1","FGF2 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"129","astrocytes","OPC","FGF2","FGFR1",0.000153352957849012,0,"FGF2_FGFR1","FGF2 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"130","astrocytes","astrocytes","FGF2","FGFR2",0.00242351611024708,0,"FGF2_FGFR2","FGF2 - FGFR2","FGF","Secreted Signaling","PMC: 4393358"
"131","astrocytes","oligodendrocytes","FGF2","FGFR2",0.00352346471643875,0,"FGF2_FGFR2","FGF2 - FGFR2","FGF","Secreted Signaling","PMC: 4393358"
"132","astrocytes","astrocytes","FGF2","FGFR3",0.00547045450604727,0,"FGF2_FGFR3","FGF2 - FGFR3","FGF","Secreted Signaling","PMC: 4393358"
"133","neurons","astrocytes","FGF17","FGFR1",5.57635751506031e-06,0,"FGF17_FGFR1","FGF17 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"134","neurons","endothelial","FGF17","FGFR1",6.64316612832227e-07,0,"FGF17_FGFR1","FGF17 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"135","neurons","neurons","FGF17","FGFR1",1.37104803030164e-06,0,"FGF17_FGFR1","FGF17 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"136","neurons","OPC","FGF17","FGFR1",7.67396716551413e-07,0,"FGF17_FGFR1","FGF17 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"137","neurons","astrocytes","FGF17","FGFR2",1.21550272481726e-05,0,"FGF17_FGFR2","FGF17 - FGFR2","FGF","Secreted Signaling","PMC: 4393358"
"138","neurons","endothelial","FGF17","FGFR2",5.62559187546418e-08,0,"FGF17_FGFR2","FGF17 - FGFR2","FGF","Secreted Signaling","PMC: 4393358"
"139","neurons","neurons","FGF17","FGFR2",9.5216734589889e-08,0,"FGF17_FGFR2","FGF17 - FGFR2","FGF","Secreted Signaling","PMC: 4393358"
"140","neurons","oligodendrocytes","FGF17","FGFR2",1.76911748391095e-05,0,"FGF17_FGFR2","FGF17 - FGFR2","FGF","Secreted Signaling","PMC: 4393358"
"141","neurons","astrocytes","FGF17","FGFR3",2.75204338629711e-05,0,"FGF17_FGFR3","FGF17 - FGFR3","FGF","Secreted Signaling","PMC: 4393358"
